index,idx,img,filename,img,text,status,lean,Unnamed: 5,Unnamed: 6,url,likely_true,favors_r,benefits_r,important,funny,surprising,reputation_overall,reputation_partyloyalty,reputation_engage,likely_share,real,num_person,biden,trump,valence,arousal,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,1,IM_a3lvf57FE2SJ0A5,f_21 thousand dead people registered on pennsylvania voter rolls.jpg,,"21,000 dead people registered on pennsylvania's voter rolls",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_21 thousand dead people registered on pennsylvania voter rolls.jpg,-0.01248769352,1.760936016,1.924617499,1.410610632,-0.3416365308,0.2374709206,0.2781789656,1.302526,1.183092782,1.300961957,-0.5,2,1,1,-1,0,9,98.87,86.68,4.97,25.77,9,22.22,44.44,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,22.22,0,11.11,0,0,0,0,0,0,11.11,0,0
1,2,IM_eXKo7q4FO7cABDL,"f_ahead of his possible arrest, jared kushner secretly leaves the country.jpeg",,"ahead of his possible arrest, jared kushner secretly leaves the country",old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,"https://www.yourfeed.social/static/images/stimulii/aj/f_ahead of his possible arrest, jared kushner secretly leaves the country.jpeg",-0.4123257212,-1.332981635,-1.306886902,0.02990666026,0.0454580292,-0.0641484513,0.01558960788,0.2992398116,-0.273957744,-0.4551875296,-0.5,1,0,0,0,0,11,99,96.52,31.94,25.77,11,36.36,72.73,36.36,9.09,9.09,0,0,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,27.27,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0
2,3,IM_b7MkJIMRdj8n2YZ,f_antifa muslim group plan to police minneapolis under muslimrule.png,,antifa muslim group plan to 'police minneapolis under muslimrule',old pre-test recycle,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_antifa muslim group plan to police minneapolis under muslimrule.png,-0.7937002026,0.6087771991,0.7629748702,1.121667879,-0.5780795228,1.122177425,-1.228860389,-0.6046940372,-0.2343705894,-0.6528596613,-0.5,0,0,0,0,0,9,99,86.68,4.97,25.77,9,22.22,77.78,22.22,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,11.11,11.11,22.22,0,0,0,0,11.11,11.11,0,11.11,0,11.11,0,0,0,22.22,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,22.22,0,0
3,4,IM_3L6QC3Go97kTJGJ,f_aoc 9-11 not a big deal.jpg,,"Ocasio-Cortez: ""9/11 wasn't that big deal""",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_aoc 9-11 not a big deal.jpg,-0.859406882,1.923762282,1.888636286,0.3620153911,-0.676474223,0.9809927739,-1.035799332,-0.4859439333,0.354285512,-0.5826610645,-0.5,1,0,0,0,0,8,11.86,1,74.76,25.77,8,0,37.5,25,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,12.5,12.5,12.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,12.5,0,0,0,12.5,25,12.5,0,12.5
4,5,IM_6PPm035L9WYEkYt,f_are you on trumps kill list stickers on mailbox.jpg,,"are you on trump's ""kill"" list? stickers on mailbox will determine your fate",new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_are you on trumps kill list stickers on mailbox.jpg,-1.759002029,-0.9789241203,-1.060733447,0.6646875429,0.2222797509,1.637198678,-1.695445122,-1.421800621,-1.756584531,-1.489982659,-0.5,0,0,0,0,0,13,65.46,99,63.54,1,6.5,23.08,76.92,46.15,15.38,15.38,0,0,15.38,0,0,0,0,15.38,15.38,0,0,0,23.08,0,0,0,0,0,7.69,0,7.69,0,7.69,0,15.38,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,15.38,15.38,0,15.38,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,30.77,0,0,0,0,7.69,0,0,15.38,7.69,0,0
5,6,IM_20twfEEs1y1TgGN,f_biden lookalike tried to get free meals.jpg,,joe biden lookalike tried to get free meals at McDonald's while impersonating President,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_biden lookalike tried to get free meals.jpg,-0.4919380788,0.3611577315,0.3719268564,-2.051354805,2.791907381,0.07530893951,-0.04128952383,-1.148531664,-0.4728551483,0.8253222206,-0.5,1,0,0,0,0,13,97.95,50,17.46,99,13,30.77,61.54,23.08,0,0,0,0,0,0,0,0,0,15.38,0,0,7.69,0,15.38,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,23.08,0,7.69,7.69,7.69,0,7.69,7.69,0,15.38,0,7.69,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0
6,7,IM_9twQhhi1PZCN6mh,f_bill clintons love child found dead.jpeg,,bill clinton love child danney williams found dead,old pre-test recycle,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_bill clintons love child found dead.jpeg,-1.421731116,1.210649319,0.9037645595,-0.4766039088,-0.4429712277,0.9676454063,-1.794725812,-1.113416809,-2.021980363,-1.633841113,-0.5,2,0,0,0,0,8,93.26,99,7.84,99,8,25,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,25,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,25,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,IM_431VxS8AiqX30O1,f_court orders tiger woods to take 137 paternity tests.jpg,,court orders tiger woods to take 137 paternity tests,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_court orders tiger woods to take 137 paternity tests.jpg,-1.334505899,0.06997213202,-0.07651180713,-1.88651444,1.72991306,1.250128017,-1.377497307,-1.83774417,-2.334185292,-1.221257172,-0.5,1,0,0,0,0,9,98.87,86.68,1,25.77,9,11.11,55.56,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,22.22,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,IM_7ZO4V9eOOeeBIbz,f_courtroom shocked after black teen requested to be tried as a white man.png,,courtroom shocked after black teen requested to be tried as a white man,old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_courtroom shocked after black teen requested to be tried as a white man.png,-0.3290041274,-0.322878414,-0.1488975311,-0.5368167001,0.5336777377,0.7459694485,-0.3855609383,-0.2571286364,0.249412373,0.02161991804,-0.5,1,0,0,-1,0,13,99,98.93,1.4,1,13,23.08,92.31,38.46,0,0,0,0,0,0,0,0,7.69,23.08,7.69,0,7.69,0,15.38,23.08,15.38,0,0,0,7.69,0,7.69,0,0,0,23.08,0,0,0,7.69,0,0,0,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,23.08,0,7.69,15.38,0,0,7.69,7.69,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,IM_6haSft5flvJDxkx,f_cuomo coming out as bisexual for cabinet position.jpg,,cuomo may be willing to coming out as bisexual for a cabinet position,new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_cuomo coming out as bisexual for cabinet position.jpg,-0.8091895386,-0.3759121642,-0.1510656795,-0.6142259515,0.7863101452,0.7501925062,-0.8202763254,-0.733931368,-0.5674058447,-0.854764197,-0.5,1,0,0,1,0,13,99,50,63.54,25.77,13,30.77,76.92,53.85,0,0,0,0,0,0,0,0,7.69,30.77,15.38,0,7.69,0,23.08,15.38,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,7.69,15.38,23.08,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
